,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
40,fCO2_SST,73,CFC11,14,Salinity [psu],21,WIND_SPEED_ABS,49,DIC (umol/kg),5,GROUP/SHIP,114,0.0,0.0,17,2,SLP,4,xCO2_ATM_assigned,21,SHIP_SPEED_KNOT,19,0.0,0.0,0.0,0.0,20140124PRINUNIVRMK,3,fCO2_SW_sat,60
41,Bubble Flag,73,Alkalinty,13,Pressure_atm [hPa],21,XCO2_EQ_AIR,49,NO2 (umol/kg),5,XCO2_WAT,102,0.0,0.0,COG#2,2,AIR_pCO2_uatm_Tak,4,SHIP_HEADING_TRUE_DEGREE,11,fCO2_FLAG,19,0.0,0.0,0.0,0.0,20091209MIRCJHATS,3,H2O_SW,60
42,utc,73,0.5 ppm,13,xCO2_water_Tequ_dry [umol/mol],21,SECONS,49,Sample_ID,5,SSS_FLAG,100,0.0,0.0,Drake Passage Research,1,LATY,4, fCO2_ATM_uatm_assigned,11,SHIP_HEADING_TRUE_DEGREE,19,0.0,0.0,0.0,0.0,20160211PRINUNIVRMK,3,Atm_Prs,48
43,hhmmss,73,Absolute,13,Eq_Temp,20,HOURS,49,QC_Flag_pCO2_Discrete,5,CRUISE_ID,92,0.0,0.0,1101,1,EQU_XCO2_ppm,4,AIR_TEMP_C,11,PRES_IR_hPa,19,0.0,0.0,0.0,0.0,20120806PRINUNIVRMK,3,Atm_Tmp.,48
44,delta fCO2,73,Curve Fitting Method,13,Atm_Pressure,20,REL_HUM,49,Station,5,       H2O_FLOW,86,0.0,0.0,18,1,DQ_FLAG,4,WIND_DIR_REL_DEGREE,11,WIND_DIR_TRUE_DEGREE,19,0.0,0.0,0.0,0.0,20010503WHPSIOKJU,3,Wind_Dir,48
45,Flag_f,73,Double single point (4.45;4.41) Open flask,13,Atm_xCO2,20,JUL_DATE,49,PO4 (umol/kg),5,            SST,86,0.0,0.0,2012/03/14,1,AIRCO2_FLAG,4,WATER_FLOW_L/MIN,11,WIND_SPEED_TRUE_M/S,19,0.0,0.0,0.0,0.0,20091219PRINUNIVRMK,3,xCO2_Air,48
46,BTLNBR_FLAG_W,69,DIC,13,Atm_xCO2_mean,20,JULIAN_YEAR,48,total UV,5,   WOCE_QC_FLAG,86,0.0,0.0,RVIB N. B. Palmer 11/1,1,CRUZ_ID,4,WIND_DIR_TRUE_DEGREE,11,WATER_FLOW_L/MIN,19,0.0,0.0,0.0,0.0,20020620WHPSIOKJU,3,Wind_Spd,48
47,NITRAT,67,CFC142b,12,pCO2,20,VCO2_SW,48,Pressure (db),5,     LICOR_FLOW,86,0.0,0.0,19,1,LATITUDE,3,GAS_FLOW_IR_ML/MIN,11,AIR_TEMP_C,17,0.0,0.0,0.0,0.0,20140814PRINUNIVRMK,2,xCO2_Sea,48
48,,66,Average,12,fCO2,20,PCO2_TEQ,48,pCO2_Discrete,5,SUBFLAG,86,0.0,0.0,1203,1,LONGITUDE,3,WIND_SPEED_TRUE_M/S,11,FLUORO_uG/L,17,0.0,0.0,0.0,0.0,20090114PRINUNIVRMKPRINUNIVRMK,2,pH2O,47
49,SAMPNO,65,CFC141b,12,  SST,20,DEL_PCO2,48,QC_Flag_NO2,5,FCO2_AIR_INERP,86,0.0,0.0,RVIB N. B. Palmer 12/3 ,1,f(CO2),3,WIND_SPEED_REL_M/S,11,WIND_SPEED_REL_M/S,17,0.0,0.0,0.0,0.0,20070629JAMSTECIORGC,2,Serial No.,45
